# Метеостанция Шереметьево / им. А. С. Пушкина (аэропорт), Россия, METAR=UUEE, выборка с 01.01.2023 по 31.01.2023, все дни
# Кодировка: ANSI
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UUEE&lang=ru
#
"Местное время в Шереметьево / им. А. С. Пушкина (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"31.01.2023 07:30";"-2.0";"728.9";"746.3";"93";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"9.0";"-3.0";
"31.01.2023 07:00";"-1.0";"729.0";"746.3";"80";"Ветер, дующий с юго-запада";"7";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-4.0";
"31.01.2023 06:30";"-1.0";"729.0";"746.3";"80";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-4.0";
"31.01.2023 06:00";"-1.0";"729.0";"746.3";"80";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-4.0";
"31.01.2023 05:30";"-2.0";"728.9";"746.3";"86";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Сплошная (100%) 360 м";"10.0 и более";"-4.0";
"31.01.2023 05:00";"-2.0";"728.9";"746.3";"86";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 360 м";"10.0 и более";"-4.0";
"31.01.2023 04:30";"-2.0";"728.9";"746.3";"86";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 360 м";"10.0 и более";"-4.0";
"31.01.2023 04:00";"-2.0";"728.9";"746.3";"86";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 390 м";"10.0 и более";"-4.0";
"31.01.2023 03:30";"-2.0";"728.1";"745.5";"86";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 360 м";"10.0 и более";"-4.0";
"31.01.2023 03:00";"-2.0";"728.1";"745.5";"86";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 360 м";"10.0 и более";"-4.0";
"31.01.2023 02:30";"-2.0";"728.1";"745.5";"86";"Ветер, дующий с юга";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 390 м";"6.0";"-4.0";
"31.01.2023 02:00";"-2.0";"728.1";"745.5";"86";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"9.0";"-4.0";
"31.01.2023 01:30";"-2.0";"728.1";"745.5";"93";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"7.0";"-3.0";
"31.01.2023 01:00";"-2.0";"728.1";"745.5";"86";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"7.0";"-4.0";
"31.01.2023 00:30";"-2.0";"728.1";"745.5";"93";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"6.0";"-3.0";
"31.01.2023 00:00";"-2.0";"728.1";"745.5";"86";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"9.0";"-4.0";
"30.01.2023 23:30";"-2.0";"728.1";"745.5";"93";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"Снег";"Сплошная (100%) 360 м";"3.6";"-3.0";
"30.01.2023 23:00";"-1.0";"728.2";"745.5";"80";"Ветер, дующий с юго-юго-запада";"6";"11";"Слабый(ая)(ые) снег";"Снег";"Сплошная (100%) 390 м";"8.0";"-4.0";
"30.01.2023 22:30";"-1.0";"728.2";"745.5";"80";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 480 м";"5.0";"-4.0";
"30.01.2023 22:00";"-1.0";"728.2";"745.5";"80";"Ветер, дующий с юга";"7";"12";"Слабый(ая)(ые) снег";"Снег";"Сплошная (100%) 480 м";"10.0 и более";"-4.0";
"30.01.2023 21:30";"-1.0";"728.2";"745.5";"80";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 420 м";"9.0";"-4.0";
"30.01.2023 21:00";"-1.0";"729.0";"746.3";"80";"Ветер, дующий с юго-юго-запада";"7";"12";"";"Снег";"Сплошная (100%) 450 м";"10.0 и более";"-4.0";
"30.01.2023 20:30";"-1.0";"728.2";"745.5";"80";"Ветер, дующий с юго-юго-запада";"7";"12";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 360 м";"10.0 и более";"-4.0";
"30.01.2023 20:00";"-1.0";"728.2";"745.5";"80";"Ветер, дующий с юго-юго-запада";"8";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"-4.0";
"30.01.2023 19:30";"-1.0";"729.0";"746.3";"80";"Ветер, дующий с юго-юго-запада";"8";"";"";"";"Сплошная (100%) 450 м";"10.0 и более";"-4.0";
"30.01.2023 19:00";"-1.0";"728.2";"745.5";"80";"Ветер, дующий с юго-юго-запада";"6";"11";"";"";"Сплошная (100%) 450 м";"10.0 и более";"-4.0";
"30.01.2023 18:30";"-1.0";"728.2";"745.5";"80";"Ветер, дующий с юго-юго-запада";"6";"12";"";"";"Сплошная (100%) 420 м";"10.0 и более";"-4.0";
"30.01.2023 18:00";"-1.0";"729.0";"746.3";"80";"Ветер, дующий с юго-юго-запада";"8";"";"";"";"Сплошная (100%) 390 м";"10.0 и более";"-4.0";
"30.01.2023 17:30";"-1.0";"729.0";"746.3";"86";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"10.0 и более";"-3.0";
"30.01.2023 17:00";"-1.0";"729.0";"746.3";"86";"Ветер, дующий с юга";"7";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 300 м";"4.2";"-3.0";
"30.01.2023 16:30";"-1.0";"729.0";"746.3";"86";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 330 м";"4.9";"-3.0";
"30.01.2023 16:00";"-1.0";"729.7";"747.0";"86";"Ветер, дующий с юга";"6";"12";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 330 м";"3.4";"-3.0";
"30.01.2023 15:30";"-1.0";"729.7";"747.0";"86";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег, дымка";"";"Сплошная (100%) 330 м";"3.7";"-3.0";
"30.01.2023 15:00";"-1.0";"729.7";"747.0";"86";"Ветер, дующий с юго-юго-запада";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"3.6";"-3.0";
"30.01.2023 14:30";"-2.0";"729.6";"747.0";"93";"Ветер, дующий с юга";"5";"10";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"5.0";"-3.0";
"30.01.2023 14:00";"-2.0";"730.4";"747.8";"86";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"2.8";"-4.0";
"30.01.2023 13:30";"-2.0";"730.4";"747.8";"86";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"3.9";"-4.0";
"30.01.2023 13:00";"-2.0";"731.1";"748.5";"86";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"8.0";"-4.0";
"30.01.2023 12:30";"-2.0";"731.1";"748.5";"86";"Ветер, дующий с юга";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"6.0";"-4.0";
"30.01.2023 12:00";"-2.0";"731.9";"749.3";"86";"Ветер, дующий с юга";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"4.4";"-4.0";
"30.01.2023 11:30";"-2.0";"731.9";"749.3";"86";"Ветер, дующий с юга";"5";"10";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"3.1";"-4.0";
"30.01.2023 11:00";"-2.0";"731.9";"749.3";"86";"Ветер, дующий с юга";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"9.0";"-4.0";
"30.01.2023 10:30";"-3.0";"732.6";"750.1";"86";"Ветер, дующий с юга";"7";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"30.01.2023 10:00";"-3.0";"732.6";"750.1";"86";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"30.01.2023 09:30";"-3.0";"732.6";"750.1";"86";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"30.01.2023 09:00";"-3.0";"732.6";"750.1";"86";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"30.01.2023 08:30";"-3.0";"733.3";"750.8";"86";"Ветер, дующий с юга";"7";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"30.01.2023 08:00";"-3.0";"733.3";"750.8";"86";"Ветер, дующий с юго-юго-запада";"6";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"30.01.2023 07:30";"-3.0";"734.0";"751.6";"86";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"30.01.2023 07:00";"-3.0";"734.0";"751.6";"86";"Ветер, дующий с юга";"6";"";"Слабый(ая)(ые) снег";"Замерзающий(ая) (переохлажденный(ая)) морось";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"30.01.2023 06:30";"-3.0";"734.7";"752.3";"86";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось";"";"Сплошная (100%) 240 м";"10.0 и более";"-5.0";
"30.01.2023 06:00";"-3.0";"734.7";"752.3";"86";"Ветер, дующий с юго-юго-запада";"5";"";"Слабый(ая)(ые) замерзающий(ая) (переохлажденный(ая)) морось";"";"Сплошная (100%) 210 м";"10.0 и более";"-5.0";
"30.01.2023 05:30";"-3.0";"735.5";"753.1";"86";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Сплошная (100%) 210 м";"8.0";"-5.0";
"30.01.2023 05:00";"-3.0";"735.5";"753.1";"86";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-5.0";
"30.01.2023 04:30";"-3.0";"736.3";"753.9";"86";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-5.0";
"30.01.2023 04:00";"-3.0";"736.3";"753.9";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-5.0";
"30.01.2023 03:30";"-3.0";"736.3";"753.9";"86";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-5.0";
"30.01.2023 03:00";"-3.0";"737.0";"754.6";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Сплошная (100%) 240 м";"10.0 и более";"-5.0";
"30.01.2023 02:30";"-3.0";"737.0";"754.6";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Сплошная (100%) 270 м";"10.0 и более";"-5.0";
"30.01.2023 02:00";"-3.0";"737.0";"754.6";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"30.01.2023 01:30";"-3.0";"737.7";"755.4";"86";"Ветер, дующий с юго-юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"30.01.2023 01:00";"-3.0";"737.7";"755.4";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 330 м";"10.0 и более";"-5.0";
"30.01.2023 00:30";"-3.0";"738.5";"756.2";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"30.01.2023 00:00";"-3.0";"738.5";"756.2";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 300 м";"10.0 и более";"-5.0";
"29.01.2023 23:30";"-3.0";"738.5";"756.2";"80";"Ветер, дующий с юга";"4";"";"";"";"Разорванная (60-90%) 390 м";"10.0 и более";"-6.0";
"29.01.2023 23:00";"-3.0";"738.5";"756.2";"80";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 420 м";"10.0 и более";"-6.0";
"29.01.2023 22:30";"-3.0";"738.5";"756.2";"80";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-6.0";
"29.01.2023 22:00";"-3.0";"739.2";"756.9";"80";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-6.0";
"29.01.2023 21:30";"-3.0";"739.2";"756.9";"80";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 450 м";"10.0 и более";"-6.0";
"29.01.2023 21:00";"-3.0";"739.2";"756.9";"86";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 480 м";"10.0 и более";"-5.0";
"29.01.2023 20:30";"-3.0";"739.2";"756.9";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-5.0";
"29.01.2023 20:00";"-3.0";"739.2";"756.9";"86";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Разорванная (60-90%) 570 м";"10.0 и более";"-5.0";
"29.01.2023 19:30";"-3.0";"740.0";"757.7";"86";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 510 м";"10.0 и более";"-5.0";
"29.01.2023 19:00";"-3.0";"740.0";"757.7";"86";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 660 м";"10.0 и более";"-5.0";
"29.01.2023 18:30";"-3.0";"740.0";"757.7";"86";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) снег";"Снег";"Разорванная (60-90%) 900 м";"3.1";"-5.0";
"29.01.2023 18:00";"-3.0";"740.0";"757.7";"86";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 990 м";"5.0";"-5.0";
"29.01.2023 17:30";"-3.0";"740.0";"757.7";"80";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 690 м";"6.0";"-6.0";
"29.01.2023 17:00";"-2.0";"740.1";"757.7";"74";"Ветер, дующий с юго-запада";"5";"";"Слабый(ая)(ые) снег";"";"Сплошная (100%) 660 м";"10.0 и более";"-6.0";
"29.01.2023 16:30";"-2.0";"740.1";"757.7";"74";"Ветер, дующий с юго-запада";"6";"";"";"";"Сплошная (100%) 690 м";"10.0 и более";"-6.0";
"29.01.2023 16:00";"-2.0";"740.1";"757.7";"74";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 690 м";"10.0 и более";"-6.0";
"29.01.2023 15:30";"-2.0";"740.5";"758.2";"69";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"-7.0";
"29.01.2023 15:00";"-2.0";"740.5";"758.2";"69";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"-7.0";
"29.01.2023 14:30";"-2.0";"740.5";"758.2";"69";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"-7.0";
"29.01.2023 14:00";"-2.0";"740.5";"758.2";"69";"Ветер, дующий с юго-запада";"7";"";"";"";"Разорванная (60-90%) 720 м";"10.0 и более";"-7.0";
"29.01.2023 13:30";"-2.0";"740.5";"758.2";"74";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Разорванная (60-90%) 930 м";"10.0 и более";"-6.0";
"29.01.2023 13:00";"-3.0";"741.3";"759.0";"74";"Ветер, дующий с юго-запада";"6";"";"";"";"Разорванная (60-90%) 870 м";"10.0 и более";"-7.0";
"29.01.2023 12:30";"-3.0";"741.9";"759.7";"74";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 870 м";"10.0 и более";"-7.0";
"29.01.2023 12:00";"-3.0";"741.9";"759.7";"74";"Ветер, дующий с юго-запада";"6";"";"";"";"Разорванная (60-90%) 930 м";"10.0 и более";"-7.0";
"29.01.2023 11:30";"-3.0";"741.9";"759.7";"74";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Сплошная (100%) 870 м";"10.0 и более";"-7.0";
"29.01.2023 11:00";"-3.0";"741.9";"759.7";"74";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-7.0";
"29.01.2023 10:30";"-3.0";"741.9";"759.7";"74";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-7.0";
"29.01.2023 10:00";"-4.0";"741.9";"759.7";"80";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-7.0";
"29.01.2023 09:30";"-4.0";"742.7";"760.5";"80";"Ветер, дующий с юга";"5";"";"";"";"Сплошная (100%) 870 м";"10.0 и более";"-7.0";
"29.01.2023 09:00";"-4.0";"742.7";"760.5";"80";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 870 м";"10.0 и более";"-7.0";
"29.01.2023 08:30";"-4.0";"742.7";"760.5";"80";"Ветер, дующий с юго-запада";"4";"";"";"";"Сплошная (100%) 900 м";"10.0 и более";"-7.0";
"29.01.2023 08:00";"-4.0";"742.7";"760.5";"80";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 930 м";"10.0 и более";"-7.0";
"29.01.2023 07:30";"-4.0";"742.7";"760.5";"80";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Разорванная (60-90%) 1050 м";"10.0 и более";"-7.0";
"29.01.2023 07:00";"-4.0";"742.7";"760.5";"80";"Ветер, дующий с юго-запада";"3";"";"";"";"Разорванная (60-90%) 990 м";"10.0 и более";"-7.0";
"29.01.2023 06:30";"-4.0";"743.3";"761.2";"80";"Ветер, дующий с юго-юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 930 м";"10.0 и более";"-7.0";
"29.01.2023 06:00";"-4.0";"743.3";"761.2";"80";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 930 м";"10.0 и более";"-7.0";
"29.01.2023 05:30";"-4.0";"744.1";"762.0";"80";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 960 м";"10.0 и более";"-7.0";
"29.01.2023 05:00";"-4.0";"744.1";"762.0";"80";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Разорванная (60-90%) 960 м";"10.0 и более";"-7.0";
"29.01.2023 04:30";"-4.0";"744.9";"762.8";"80";"Ветер, дующий с западо-юго-запада";"4";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"-7.0";
"29.01.2023 04:00";"-4.0";"744.9";"762.8";"80";"Ветер, дующий с западо-юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 660 м";"10.0 и более";"-7.0";
"29.01.2023 03:30";"-4.0";"744.9";"762.8";"80";"Ветер, дующий с юго-запада";"3";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"-7.0";
"29.01.2023 03:00";"-4.0";"744.9";"762.8";"80";"Ветер, дующий с запада";"4";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 480 м";"10.0 и более";"-7.0";
"29.01.2023 02:30";"-4.0";"745.6";"763.5";"86";"Ветер, дующий с запада";"4";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 300 м";"10.0 и более";"-6.0";
"29.01.2023 02:00";"-4.0";"745.6";"763.5";"86";"Ветер, дующий с запада";"4";"";"Слабый(ая)(ые) снег";"";"Рассеянная (40-50%) 270 м";"10.0 и более";"-6.0";
